,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.8809639,1.220906,0.7059742,1.1897362,1.479764,0.8539245,1.2497356,0.5466194,0.8490976,0.42580682,1.44254,0.6565701,0.5963763,0.98382276,0.38741565,1.1884608,1.1042782,1.5284138,1.4223483,0.8744757,0.61458546,1.4049184,1.5788488,0.94890606,1.5680819,1.0024045,1.1612724,0.6386015,0.84072626,1.3871323,0.8614013,0.99711347,1.3200512,0.96088666,0.7736871,0.9022249,0.5237874,0.66449726,1.512173,0.8199426,1.55635,0.9924799,0.75165343,0.7879002,0.9562138,1.1868207,0.786528,1.1383532,1.0616312,1.1201103,0.8590639,0.8244202,1.2764504,0.4176072,1.1464024,1.2146702,1.3419125,0.51553756,0.8629841,0.68770635,1.4664304,1.042885,1.2117492,0.8780448,0.87349856,1.4121349,1.1525985,0.8723617,0.81374073,1.2525553,0.57181597,1.2709073,0.96787316,1.5478783,0.76277494,0.7793902,1.058878,0.46734,0.7657949,1.4386613,1.1983404,1.3651546,1.2179959,1.4265646,1.2037597,0.84085464,0.6544921,0.67652214,0.7083888,1.5281711,1.4671609,1.1575722,1.1595705,0.6128962,1.2778913,1.4791954,1.0889488,0.76603377,1.438535,1.4092305,1.042742,1.1118803,0.7375038,0.9876273,0.8092988,0.9481972,0.6958459,1.0574416,0.7532435,1.1723734,0.70060754,0.76884556,0.65934163,1.4250239,0.8174956,1.4854852,0.8007004,0.9245108,1.2659031,1.0687025,0.974574,0.90704894,0.6925108,0.60632217,1.2651641,1.3397843,1.2888645,0.75191367,1.2178185,1.1236503,0.66464764,1.5159105,1.477412,1.165868
ankle,0.8809639,0.0,1.1865121,0.73189026,1.1100652,1.1717337,0.94600433,1.130078,1.1231874,1.0740602,1.0161121,1.1669676,1.0380847,0.7841878,0.9682931,0.97764933,1.0462004,1.1043283,1.1972699,1.276845,1.142914,1.0923252,0.9878849,1.085737,1.1281816,1.0500777,1.2385366,0.61994815,1.0715448,0.8769022,1.249707,1.1165853,0.7624692,1.1401659,1.0766981,1.058195,1.1274378,1.0225619,0.99326384,1.1134145,1.058399,1.2208762,1.0788844,1.1817656,1.0190282,1.0539818,0.97557515,0.8885957,1.289743,0.6184931,0.91622454,1.097143,1.0791248,0.57243246,0.7140168,1.2513307,0.6880727,1.0073346,1.06762,1.0927904,0.9336781,1.1179934,0.77849495,1.0346336,0.7777359,0.5533165,1.1105945,0.9680308,0.93062806,0.9230627,1.1103806,0.75649536,0.95441014,0.8815652,1.2346815,0.6017074,1.0608617,0.86502755,0.7331462,1.0511446,1.1000515,1.0370169,0.709254,0.9173865,1.1843387,1.2244108,1.1506593,0.8837805,0.74276567,0.9657599,1.1116657,1.0988815,1.0178205,0.89352566,1.0405908,1.0454799,1.1789161,1.1829735,0.927643,1.141802,0.96218514,1.0183538,0.823744,0.8427123,1.0747374,1.0298355,0.96337795,0.8923805,0.6730008,0.8652941,1.0193539,0.963342,1.1449445,1.1112152,0.90521705,1.2010021,1.2536201,0.70387006,1.0574539,1.0049115,1.0180666,0.8829324,0.98927516,0.95605296,1.106169,1.2251637,0.54606134,0.90485203,0.83117545,1.0447558,1.201505,1.1117315,1.0425954,0.8831527,1.1543245
apple,1.220906,1.1865121,0.0,1.234281,0.4789098,0.5394905,1.0282847,1.1193074,1.3133768,1.1721566,1.2981333,0.8560085,1.356685,1.3368835,1.1459382,1.2941293,1.1059086,1.0271133,0.70651424,0.7247609,1.1826861,1.2992294,1.0634212,0.7557072,1.0444059,0.9137679,0.95521444,0.94394606,1.2887366,1.3064084,0.7885916,1.2954657,1.1532917,1.026355,1.1732581,0.9930737,1.2127402,1.1845416,1.3266296,0.77426165,1.3393042,0.603047,1.0543613,0.7201597,0.6406593,1.3537831,1.0168197,1.2011915,0.49691272,0.97290415,0.66023964,1.209757,0.8414445,0.81320316,1.1659418,0.9832672,0.97441447,1.0700476,0.66884303,0.92600614,1.2798069,0.76058257,0.86106265,0.6660046,1.086258,1.1355946,0.6611817,0.78778267,1.2573943,1.2561411,0.664539,1.3318295,1.047714,1.3393192,0.866352,1.3067961,0.996891,1.1065848,1.000647,1.2710166,0.6216645,1.038856,0.92365545,0.7315215,0.441373,1.036081,0.73044825,1.2844151,1.36728,1.2307199,0.85532993,0.8884649,0.8927264,0.9249383,1.1689037,0.8363315,0.8151983,0.10935223,1.2024235,0.86146694,0.7879385,1.2664998,1.049264,1.0767516,0.9338895,1.142353,1.0014383,1.2013663,0.93118787,1.3204277,0.958099,1.2419045,1.2822571,1.1821337,0.74146974,1.1749375,0.8541404,1.0688685,1.176998,0.9493406,0.8465385,0.74758244,0.94921726,1.2302191,1.2429991,0.6437223,0.8577858,0.86502814,1.157586,0.99534386,0.45277786,1.2623911,1.004165,0.7856716,1.1618837
arm,0.7059742,0.73189026,1.234281,0.0,1.2616477,1.3615272,0.8164441,1.1382953,0.7348545,1.0687759,0.7034254,1.308872,0.82326734,0.5034163,1.0917965,0.731915,1.1266781,0.8954898,1.3356807,1.4062926,0.87575865,0.91488403,1.175749,1.3970183,0.9214257,1.3337643,1.1688392,0.89390707,0.9519984,0.84639764,1.3197811,0.8890488,0.90747046,1.0618843,1.0025762,1.0289053,0.8927002,0.81330127,0.95264,1.25581,0.90828,1.3245857,1.1117392,1.0322468,0.94476986,0.963076,1.1405547,0.765201,1.2405741,0.9003684,1.1772867,0.79922694,0.9135295,0.8260449,0.9398541,1.1821656,1.031467,1.2235377,1.0691857,1.0105584,0.9614073,1.2865906,0.98063636,1.2654009,0.8675456,0.35796428,1.3508835,1.2599702,0.91310745,0.7110046,1.2291323,0.63141,1.0454774,0.9967275,1.343777,0.6966508,0.9942695,1.119295,0.68277514,1.0702239,1.3019042,1.0350882,1.0190016,1.0981008,1.3038906,1.083019,1.0946925,0.60348225,0.7568156,0.51209843,1.1929686,1.0976951,1.3077697,1.1628339,0.9102791,1.2923412,1.3378348,1.1240675,0.9266288,1.3517723,1.261853,1.0211459,1.2360001,0.8846001,1.1812205,0.81930894,1.049375,0.5960647,1.156035,0.57401437,1.193341,0.8462585,0.8074169,0.7919532,1.3031203,0.8399052,1.3736982,0.79878414,1.0964981,1.3034252,0.97013867,1.0915504,1.1179237,0.53567314,0.5204575,1.1656868,0.950907,1.2118222,0.6351207,1.243062,1.1681674,0.65423155,1.289763,1.1855359,1.0794739
ball,1.1897362,1.1100652,0.4789098,1.2616477,0.0,0.4296683,1.0321748,1.0403671,1.2651867,1.0579724,1.3024998,0.8192047,1.388016,1.2897745,1.0318509,1.2870898,0.9263549,0.97973406,0.5886956,0.61046255,1.1912674,1.1842495,0.9595479,0.7800325,1.1465003,0.9790394,1.0075918,1.1349022,1.3201753,1.3892016,0.5994123,1.2627199,1.1919183,1.0291114,1.200208,0.92095345,1.069322,1.2669026,1.2058978,0.702787,1.3485315,0.612881,0.9625605,0.9303,0.81680965,1.3781962,1.1441919,1.2226,0.77120245,1.0719278,0.7829125,1.2475238,0.99714816,0.91887575,1.2061865,0.7679559,0.98095816,1.0578588,0.77710724,0.86758757,1.1137313,0.79625434,0.89602184,0.4782052,1.1582844,1.1897804,0.52191067,0.85031915,1.3117509,1.3058482,0.6391613,1.3757447,1.0839597,1.3267187,0.77328074,1.4056544,1.0731715,1.0547715,1.033598,1.1609824,0.59862465,1.0921321,0.9719751,0.81075966,0.56527984,1.0634955,0.8467655,1.290023,1.4482201,1.1416159,0.72412115,0.7582123,0.80166996,1.0141392,1.0981991,0.77478254,0.7737027,0.5049814,1.2052419,0.8340423,0.7768253,1.251755,1.1035182,1.0155655,0.9249423,1.1140109,1.0108963,1.3187128,0.86451536,1.3996022,0.9373509,1.2551167,1.2903838,1.148033,0.72157615,1.1436229,0.67011946,1.068944,0.99322516,0.8827911,0.8799975,1.0048918,1.0042697,1.239963,1.1633544,0.71972734,0.8738724,0.9020924,1.1541287,0.9846822,0.3639465,1.1911414,0.9761253,0.7561996,1.1808292
balloon,1.479764,1.1717337,0.5394905,1.3615272,0.4296683,0.0,1.0965842,0.975394,1.4997829,1.1295333,1.5132139,0.42965907,1.4393896,1.4689264,0.8779328,1.4969028,0.93522143,1.0165105,0.49452287,0.52574426,1.3629282,1.3551736,0.7125618,0.4769718,1.1052125,0.53774697,0.9670828,0.88441944,1.2624654,1.2759047,0.6712577,1.27154,1.1577361,0.9242469,1.1703434,1.1049824,1.1368755,1.4077365,1.3665137,0.43697393,1.3771038,0.45176452,1.1390868,1.1401119,1.0932115,1.1787075,0.8627854,1.3842106,0.82423234,0.9693291,0.7239772,1.2376997,1.1433918,0.70161223,1.2381842,0.74321383,0.6779613,0.6607069,1.0808775,1.0410002,1.3154882,0.50780976,0.7780117,0.7174223,1.2144755,1.2359874,0.38730812,0.88757116,1.235188,1.3850045,0.8166342,1.4711696,0.85730743,1.3382976,0.3487717,1.3818042,0.917535,1.0361563,1.2019031,1.2538202,0.3990885,0.70914066,0.652318,0.6545794,0.24496388,1.0272784,1.0595756,1.4844637,1.4721152,1.2527182,0.51468164,0.5752032,0.57330656,0.6219073,1.2928803,0.6319754,0.42162895,0.6478064,1.3841087,0.68205905,0.57042104,1.1972281,0.9710643,1.1669027,1.0181584,1.3054283,1.148218,1.4307584,0.9474221,1.3136427,0.8020835,1.4298055,1.3245451,1.3825955,0.4765854,1.2034043,0.38377297,1.0383801,1.1007948,0.7803107,0.9014698,0.9542834,1.1968352,1.4273767,1.4680096,0.7723417,0.6490872,0.6070532,1.3021781,0.6002872,0.72054994,1.4738185,0.5287294,0.5138879,0.9055135
banana,0.8539245,0.94600433,1.0282847,0.8164441,1.0321748,1.0965842,0.0,1.1977918,0.91111845,1.1268859,1.1263258,1.3148924,1.1622328,0.93856555,1.1231519,1.0564073,1.087028,0.91138434,1.1834036,1.1216475,1.0304484,0.8937604,1.1223822,1.3314928,1.1246705,1.3553503,1.1294034,0.74415535,1.2198305,1.2598906,1.0969038,1.2043374,1.1891856,1.137214,0.6784002,0.8232974,0.6589272,1.2029146,0.6628531,0.981239,1.2748904,1.2111807,0.8303173,1.0518533,0.84412646,1.3059683,1.1573701,1.065239,1.0804791,0.944928,0.76112485,1.2348017,1.0184284,0.90918773,0.72122556,0.7304156,1.0707737,0.8420614,0.65734035,1.0276164,0.8269428,1.2424707,0.87037146,0.78971666,1.0701482,0.670703,1.2437601,1.1136346,1.0442517,1.1253994,0.9200555,1.1088638,0.8638636,1.161114,1.2206373,1.0085535,0.559863,0.87580794,0.65592015,0.7773374,1.1120273,1.0272572,1.0719093,1.0215616,1.0386455,1.2849245,0.9548969,1.1059735,1.1106749,0.75210434,1.0374827,0.9282948,0.5703554,1.2433407,0.72581697,1.0309042,1.0555478,0.95989746,1.1299201,1.3585304,1.1988593,1.2301909,1.0547911,0.8637888,0.5853317,0.9672202,0.6072159,1.1130221,1.088364,1.1459806,0.7818267,1.1442664,0.93651193,0.97762364,1.1764185,1.1204835,1.1090283,0.89494216,0.70331854,0.736908,0.8423697,0.9259035,1.1008432,1.1415422,0.90402424,0.9936782,0.9829349,1.0338281,0.4593796,1.078927,0.75999933,0.79948306,1.304293,1.1202263,1.2647276
basket,1.2497356,1.130078,1.1193074,1.1382953,1.0403671,0.975394,1.1977918,0.0,1.1501321,1.1557027,1.0127487,0.96636635,0.83747864,1.1755563,1.0517522,0.99843353,0.623216,0.831419,0.7294377,0.9346299,0.80635893,1.219131,0.687032,0.6875064,0.8722147,0.6921347,0.9301946,1.252452,1.1146543,0.6967713,0.7134711,0.7588228,0.9005298,0.62703806,0.77075607,1.2698381,0.9526382,0.93641275,1.1671113,0.95064807,0.34269625,0.72853035,1.2068398,1.1113081,1.1380115,0.66844267,0.74482095,1.0170293,1.0646678,1.2242612,1.2362181,0.8744395,1.1610556,1.2412397,1.3884697,0.8124877,1.1060339,0.91008717,1.3705928,1.0905133,1.2423627,0.9614541,1.0754817,1.1016735,1.1792781,1.2390382,1.0045397,0.9085667,0.9969682,0.87614214,0.89184713,1.1502826,0.98922265,0.6782765,0.66674364,1.1753726,1.3186915,1.0754905,1.2973228,1.0997505,1.1510258,0.7395793,1.0962254,1.1947185,1.0750301,0.6169368,1.1603767,1.064176,1.103431,1.1940942,0.87786084,0.9237421,0.9309282,0.916378,1.3257339,0.8092866,0.9422766,1.0308622,0.80260277,0.67311424,1.1106993,0.72304845,1.0569801,1.0454068,1.1611129,0.9335897,1.0101719,1.186927,0.93347627,1.1342858,0.9357171,1.1140474,1.0135013,1.0078412,1.0502965,0.94288754,0.77474284,0.9782724,1.0986053,0.9347423,1.1955265,1.2678351,1.0837806,1.1127173,1.1564295,0.89849186,1.1658193,1.2870078,1.2056897,0.7582581,0.97312033,1.0925667,0.6448236,0.9898368,0.6179916
bathtub,0.5466194,1.1231874,1.3133768,0.7348545,1.2651867,1.4997829,0.91111845,1.1501321,0.0,0.84707665,0.50937337,1.4587686,0.56807727,0.63670576,1.0489855,0.64708126,1.0409343,0.99925023,1.4586446,1.1347332,0.61281335,0.38833493,1.3749104,1.4715091,0.93523216,1.4415035,1.10573,1.3100282,0.7171848,0.9150417,1.2039291,0.67299116,1.065537,1.1382111,0.89898384,0.5975275,0.9062841,0.7127382,0.63392204,1.5187817,0.8078686,1.3985202,0.62996495,1.0666221,1.1911341,0.7752438,1.0646884,0.87711954,1.2699251,1.1961982,1.0913599,0.7988057,0.89767563,1.394693,0.9355929,1.2846093,1.3142884,1.3978338,0.96940094,0.92693025,0.6676134,1.4862982,1.5095417,1.275842,0.9430989,0.9667941,1.5373175,1.3903968,0.83958495,0.8784701,1.0460285,0.73306733,1.2247028,0.94159824,1.3706759,0.9269093,0.85278773,1.0128176,0.93069494,0.5995401,1.4534125,1.2876756,1.4567318,1.3958867,1.4942577,0.96544987,0.98210955,0.65531904,0.828902,0.5802497,1.463218,1.3604718,1.2368081,1.547831,0.59795797,1.4286627,1.3124473,1.2400649,0.912136,1.4136941,1.4419111,0.84665966,1.3707037,0.7795442,0.73350406,0.93026173,0.87318116,0.7166561,1.3378885,0.7658001,1.1457187,0.42096788,0.3015604,0.4694336,1.5908097,0.58862984,1.2934439,1.0601948,0.6569271,1.1807101,1.1259159,1.198401,1.0882025,0.6139756,0.28210354,1.0336298,1.4704447,1.4001255,0.7539414,1.463787,1.1964936,0.3082075,1.5000498,1.5829296,1.0845262
bear,0.8490976,1.0740602,1.1721566,1.0687759,1.0579724,1.1295333,1.1268859,1.1557027,0.84707665,0.0,0.78485525,1.0782105,0.8090701,0.8856803,0.8421202,0.7555195,1.0564328,1.189479,1.1921889,1.1297716,1.0525432,0.5180125,1.0754219,1.1969905,1.0672618,1.137795,1.0569358,1.1082029,0.5818622,0.9917875,1.0404918,0.7809063,0.8987756,1.104286,1.1225206,0.8524357,0.8177864,0.85796106,0.7385477,1.2116297,0.9922111,1.1770153,0.92327625,0.86399376,1.0711504,0.8578466,1.1632687,0.902086,1.0140346,1.1780051,1.0688409,1.0341206,1.014946,1.175513,0.8956029,1.0436139,1.0847242,1.1882774,1.0496627,0.9596072,0.8295652,1.1407503,1.2098541,1.1827514,0.95429665,1.0892911,1.1119596,1.0645566,0.91548157,1.0924803,1.1504872,0.988296,1.2666192,0.99527115,1.1143621,0.8809171,1.0351142,0.9742766,1.0950464,0.76596177,1.0761675,1.2178409,1.1702012,1.0776079,1.1248827,1.0695238,0.9462007,0.84651834,0.9394445,0.9986,1.2352569,1.2121184,1.1670697,1.1563162,0.847185,1.07091,1.2019883,1.1799096,1.0177552,1.1387293,1.0672804,0.9281981,1.1104659,0.9422997,0.9789502,0.8762484,1.1761893,0.9828464,1.0779153,1.0681372,1.1705608,0.9041614,0.9780092,0.81232285,1.1429641,0.7926507,1.0113971,1.1750721,0.90651333,1.1974528,1.1130842,1.0637692,0.87209016,0.8973242,0.7999542,1.2149535,1.1513273,1.0861335,1.114887,1.1789238,1.1985943,0.96953696,1.1507258,1.1656405,0.97791874
bed,0.42580682,1.0161121,1.2981333,0.7034254,1.3024998,1.5132139,1.1263258,1.0127487,0.50937337,0.78485525,0.0,1.3661705,0.3382973,0.61815757,1.0815849,0.20520669,1.0460942,0.98859656,1.4750077,1.3793863,0.60491294,0.7401556,1.229948,1.4109523,0.9926243,1.3171036,0.9983569,1.2617418,0.7267873,0.46704566,1.3594348,0.50678056,0.9224732,1.1047649,1.0693154,0.92032236,1.0337045,0.16152906,0.90500164,1.4977994,0.4233786,1.4620655,1.0501531,0.9680346,1.0292289,0.6441202,0.94963366,0.8104216,1.1831762,1.1583788,1.2939184,0.8649507,0.88632184,1.3211548,0.8491763,1.3150175,1.1926295,1.4235014,0.9784003,0.9985885,0.86130905,1.4025896,1.2402375,1.3747699,0.8826223,0.97058314,1.4020059,1.2680739,0.7922958,0.63618934,1.3064697,0.4797995,1.2938548,0.68925685,1.4021481,0.7286091,1.0379614,1.0175823,0.80297065,0.9979188,1.4420371,1.1558106,1.3871886,1.3074522,1.4675224,0.8688093,0.98890364,0.59164,0.59277153,0.72569746,1.4922574,1.4370028,1.4143703,1.0632899,0.8763082,1.3528402,1.446815,1.2220256,0.6590359,1.2203662,1.3448167,0.70121944,1.197322,0.9076975,1.126938,0.8585499,1.1245892,0.5673912,1.1043627,0.6661891,1.3265827,0.51085496,0.6919467,0.519322,1.4453378,0.73117435,1.3823624,0.89374197,1.0599757,1.3800282,1.1109006,1.1319048,0.8540986,0.569524,0.4654039,1.2359978,1.3838313,1.3904264,0.96280056,1.2000902,1.2673285,0.65294695,1.3147434,1.5075036,0.90288836
belt,1.44254,1.1669676,0.8560085,1.308872,0.8192047,0.42965907,1.3148924,0.96636635,1.4587686,1.0782105,1.3661705,0.0,1.2710196,1.4424648,0.8568227,1.3698895,0.9610238,1.0662496,0.45866865,0.48053467,1.3041828,1.3142005,0.7144199,0.49400568,1.0556759,0.45826733,0.8463962,0.86800003,1.0726999,1.1369383,0.74374235,1.2164825,1.1701605,0.95074284,1.2217298,1.3375064,1.168165,1.2371492,1.3993458,0.32291198,1.2265916,0.51471174,1.3349748,1.1266785,1.2166153,1.1020533,0.91690075,1.2935514,0.8008366,0.91326857,1.0977558,1.0518665,1.1934335,0.72500765,1.2406809,0.79393786,0.6253089,0.56232744,1.2056417,1.1468499,1.4168049,0.21772045,0.829646,0.96603423,1.1266873,1.3016827,0.24709165,0.8807347,1.1296452,1.2283609,1.0895298,1.263683,0.7313676,1.2074,0.4444983,1.2083032,1.1485214,1.1347837,1.3744328,1.4003308,0.35213888,0.71258223,0.577579,0.77983755,0.40364397,0.9469963,1.1482971,1.3599567,1.293726,1.3371317,0.33929193,0.47532701,0.8285915,0.42013943,1.309972,0.63126785,0.4017551,1.0420558,1.2444487,0.48142016,0.38601112,1.182318,0.8665921,1.3109009,1.3185639,1.2782984,1.1997452,1.2797357,0.83530664,1.0703034,0.7887968,1.2909518,1.340909,1.2557557,0.22588915,1.0762999,0.47219157,1.1287973,1.3196533,0.79005265,0.9558898,1.0800713,1.0999721,1.2915633,1.4324923,0.88999104,0.6660613,0.46678513,1.3800393,0.5747559,0.9808181,1.4807625,0.44422317,0.31522584,0.9211243
bench,0.6565701,1.0380847,1.356685,0.82326734,1.388016,1.4393896,1.1622328,0.83747864,0.56807727,0.8090701,0.3382973,1.2710196,0.0,0.7817831,1.1231718,0.54752964,0.7042333,0.8344944,1.39555,1.3034779,0.4698385,0.8708714,1.0407666,1.2164098,1.0283931,1.0856836,0.77225655,1.2036616,0.7539045,0.3109728,1.3561084,0.58439225,0.96374565,0.9104673,0.9774694,1.0337688,1.0795535,0.31453806,1.0023649,1.3826923,0.3468635,1.3376889,1.1695998,1.145631,1.2149705,0.5579492,0.63959,0.9155278,1.2901849,1.1696806,1.3131235,0.9092593,1.0517867,1.3481145,0.8837216,1.3617138,1.1119545,1.270581,1.1905441,1.0300536,0.8744607,1.3616598,1.3058615,1.4175699,0.9312037,1.0293578,1.4057324,1.3405011,0.61323476,0.6506384,1.2158628,0.5669021,1.0672603,0.533259,1.2245831,0.6501619,1.0499626,0.94067657,0.934726,0.9520786,1.4814525,0.9491483,1.3743248,1.3199155,1.4608846,0.69652104,1.2218584,0.7229949,0.6046022,0.85579795,1.3464851,1.3161587,1.2623872,1.1021608,1.0168071,1.3415269,1.299684,1.23205,0.5690818,0.9977794,1.3303709,0.5324824,1.1369581,0.9742914,1.1641791,0.98732793,1.075318,0.6866932,1.1370462,0.66475064,1.259989,0.6758965,0.511221,0.52231014,1.4146447,0.74650764,1.2965231,0.9030655,1.0998969,1.2816145,1.1311198,1.1739197,0.8876611,0.720532,0.5887253,1.1994219,1.3935007,1.4033148,0.99049246,1.1260434,1.3297615,0.6659127,1.118329,1.4705212,0.79077303
bib,0.5963763,0.7841878,1.3368835,0.5034163,1.2897745,1.4689264,0.93856555,1.1755563,0.63670576,0.8856803,0.61815757,1.4424648,0.7817831,0.0,1.0065619,0.5638244,1.2089677,1.1518166,1.4853717,1.4858756,0.9354495,0.7576676,1.3471133,1.4600294,0.90890115,1.4010205,1.1467144,1.1141182,0.80169666,0.8099811,1.3721037,0.8020123,0.7334366,1.2143352,0.98443186,0.90303665,0.8355371,0.7312087,0.8073505,1.5137861,0.84535027,1.4775355,0.96835244,1.061796,0.9906427,0.8632632,1.2183511,0.5054891,1.2687595,0.8712592,1.1225033,0.798049,0.6371672,1.0847564,0.8419781,1.265067,1.2248191,1.4542801,1.0645183,1.014999,0.69224554,1.3912671,1.165864,1.3040712,0.60689574,0.6504288,1.3974473,1.2635095,0.9545836,0.7040119,1.2759385,0.4743569,1.375109,0.92143077,1.4459833,0.6167708,1.0056331,1.0531733,0.6946957,0.80621177,1.3267684,1.2857643,0.944911,1.1252599,1.4361582,1.1999474,1.0296588,0.3687929,0.47578895,0.6578922,1.5219562,1.450201,1.3360136,1.2740768,0.803244,1.402993,1.5175831,1.2267237,0.8343649,1.4575784,1.2852845,0.9049954,1.0853055,0.8677213,1.0775853,0.60091615,1.1552736,0.31476974,1.195946,0.5513816,1.3193189,0.64629024,0.80965436,0.7279419,1.4279735,0.90224266,1.446235,0.926323,0.94453263,1.4213831,1.0985974,0.93627584,0.99413884,0.3207271,0.5789757,1.3254083,1.146317,1.2670832,0.7776618,1.3968818,1.3213927,0.7076542,1.4161034,1.3329883,1.0647173
bird,0.98382276,0.9682931,1.1459382,1.0917965,1.0318509,0.8779328,1.1231519,1.0517522,1.0489855,0.8421202,1.0815849,0.8568227,1.1231718,1.0065619,0.0,0.9579145,1.0000648,1.1708219,1.0535873,1.0240737,1.2043533,0.841269,0.97152686,0.9580502,0.95521706,0.9253206,1.1661086,1.006001,0.82979596,1.1523464,0.902163,1.0418346,0.8206029,1.0267596,0.96931934,0.9688105,0.9106985,1.1670057,0.95807946,0.9645378,1.1386398,1.1087123,1.0226105,1.1010623,1.2457103,1.0037795,1.0744342,1.0611206,1.1103243,0.891868,1.0266813,0.8575003,1.1024939,0.9315324,1.0079048,1.1220737,0.74339366,0.8703249,1.1847022,1.1494229,0.9455012,0.79726285,0.9384069,1.0625019,0.99017256,1.0794315,0.90590537,0.9949223,1.0621805,1.078022,1.155446,1.0452855,0.9511172,1.1911619,0.94601,1.0019715,0.88975227,1.0019923,1.0390637,0.94758105,0.8147713,0.8537545,0.7667778,0.8503251,0.9952577,1.1195567,1.0393835,1.026168,1.01656,1.0451454,0.95014644,0.95500165,0.9609388,0.8427605,1.0102673,1.0719602,0.9503654,1.1978769,1.0153298,1.0140506,0.7825957,1.1549451,1.0269505,1.1357665,1.0464854,1.0843487,1.131226,1.087093,0.91671723,0.9382736,1.1075435,1.1065574,1.054696,1.1309882,0.78235674,0.9302922,0.92398834,0.9107663,0.9740315,1.093754,1.1565962,0.9971148,1.1752894,1.0661788,1.1466521,1.0515466,0.7998455,0.709084,1.1919374,0.80723965,1.2405083,1.1688509,0.94641787,0.81338,1.0041844
blanket,0.38741565,0.97764933,1.2941293,0.731915,1.2870898,1.4969028,1.0564073,0.99843353,0.64708126,0.7555195,0.20520669,1.3698895,0.54752964,0.5638244,0.9579145,0.0,1.0655564,1.0070655,1.4799926,1.4357908,0.8177184,0.73187524,1.2983663,1.4853277,0.84913206,1.3997183,1.0307457,1.1901246,0.66631746,0.6366589,1.319307,0.6685205,0.7298528,1.1648046,1.0359964,0.91263354,0.8788747,0.3310995,0.84007335,1.442608,0.5923873,1.4872354,1.0671209,0.84230644,0.93896097,0.7709965,1.1176137,0.6564727,1.1478975,1.1625909,1.2282466,0.8095248,0.94949365,1.3122294,0.81212056,1.2146072,1.2184851,1.3647752,0.9368279,1.0048023,0.7821051,1.3867155,1.1356397,1.3199855,0.9146182,0.9382609,1.3869307,1.1548915,0.9028639,0.6249238,1.2900038,0.53521323,1.3071196,0.86429346,1.4087503,0.7221652,0.9857878,1.0966502,0.72802,0.93193847,1.4196517,1.0511547,1.3075297,1.2612529,1.3939939,1.0822043,0.94953096,0.47097814,0.5431821,0.7411588,1.4614387,1.4187675,1.3074433,1.0331186,0.803718,1.3716092,1.4596013,1.1870468,0.63808227,1.3129168,1.3724504,0.9266633,1.1704849,0.9124177,1.100486,0.6864343,1.1141019,0.6395734,1.0235877,0.6939907,1.3489475,0.68753684,0.81500345,0.71307397,1.4052055,0.7823579,1.3684932,0.8701975,1.0409437,1.4052742,1.1379505,1.0357281,0.8964166,0.61135185,0.6723321,1.2508895,1.3677464,1.3383546,0.9724008,1.0386269,1.2756081,0.7522677,1.3763845,1.447891,1.005054
